ARCADE 0.220      Mar 26, 2020
galaga88j         "Galaga '88 (Japan)"
galagamf          "Galaga (Midway set 1 with fast shoot hack)"
galagamk          "Galaga (Midway set 2)"
galagamw          "Galaga (Midway set 1)"
galagao           "Galaga (Namco)"
galaktron         "Galaktron (Petaco S.A.)"
galap1            "Space Invaders Galactica (galaxiana hack)"
galap4            "Galaxian Part 4 (hack)"
galapx            "Galaxian Part X (moonaln hack)"
galastrm          "Galactic Storm (Japan)"
galaxbsf          "Galaxian (bootleg, set 1)"
galaxbsf2         "Galaxian (bootleg, set 3)"
galaxi            "Galaxi (v2.0)"
galaxia           "Galaxia (set 1)"
galaxiaa          "Galaxia (set 2)"
galaxiab          "Galaxia (set 3)"
galaxiac          "Galaxia (set 4)"
galaxian          "Galaxian (Namco set 1)"
galaxiana         "Galaxian (Namco set 2)"
galaxianbl        "Galaxian (bootleg, set 2)"
galaxianbl2       "Galaxian (bootleg, set 4)"
galaxianbl3       "Galaxian (Spanish bootleg)"
galaxiani         "Galaxian (Irem)"
galaxianm         "Galaxian (Midway set 1)"
galaxianmo        "Galaxian (Midway set 2)"
galaxianrp        "Galaxian (Rene Pierre bootleg)"
galaxiant         "Galaxian (Taito)"
galaxrcgg         "Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Covadonga Spanish bootleg)"
galaxrf           "Galaxian (Recreativos Franco S.A. Spanish bootleg)"
galaxrfgg         "Galaxian Growing Galaxip / Galaxian Nave Creciente (Recreativos Franco S.A. Spanish bootleg)"
galaxyfg          "Galaxy Fight - Universal Warriors"
galaxygn          "Galaxy Gunners"
galaxygnh         "Galaxy Gunners (1990 year hack)"
galds             "Gals Ds - Three Dealers Casino House (bootleg?)"
galemp            "Galaxy Empire (bootleg?)"
galgame           "Galaxy Game"
galgame2          "Galaxy Games StarPak 2"
galgame3          "Galaxy Games StarPak 3"
galgame4          "Galaxy Games StarPak 4 (prototype)"
galgbios          "Galaxy Games BIOS"
galhustl          "Gals Hustler"
galivan           "Cosmo Police Galivan (12/26/1985)"
galivan2          "Cosmo Police Galivan (12/16/1985)"
galivan3          "Cosmo Police Galivan (12/11/1985)"
galkaika          "Mahjong Gal no Kaika (Japan)"
galkoku           "Mahjong Gal no Kokuhaku (Japan)"
gallag            "Gallag"
gallag50          "Gallag Video Game / Petalouda (Butterfly, x50)"
gallgall          "Gallagher's Gallery v2.2"
gallgall_21       "Gallagher's Gallery v2.1"
gallop            "Gallop - Armed Police Unit (Japan, M72 PCB version)"
galmedes          "Galmedes (Japan)"
galmonst          "Galaxy Monsters (Laguna S.A. Spanish bootleg of Space Invaders)"
galpani2          "Gals Panic II (Asia)"
galpani2e         "Gals Panic II (English)"
galpani2e2        "Gals Panic II (English, 2 PCB ver.)"
galpani2g         "Gals Panic II (Germany, 2 PCB ver.)"
galpani2gs        "Gals Panic II (Germany, single PCB)"
galpani2i         "Gals Panic II (Italy, single PCB)"
galpani2j         "Gals Panic II (Japan)"
galpani2t         "Gals Panic II (Taiwan)"
galpani3          "Gals Panic 3 (Euro)"
galpani3hk        "Gals Panic 3 (Hong Kong)"
galpani3j         "Gals Panic 3 (Japan)"
galpani3k         "Gals Panic 3 (Korea)"
galpani4          "Gals Panic 4 (Europe)"
galpani4j         "Gals Panic 4 (Japan)"
galpani4k         "Gals Panic 4 (Korea)"
galpanic          "Gals Panic (Unprotected)"
galpanica         "Gals Panic (MCU Protected, set 1)"
galpanicb         "Gals Panic (MCU Protected, set 2)"
galpanicms        "New Quiz (Modular System bootleg)"
galpanidx         "Gals Panic DX (Asia)"
galpanis          "Gals Panic S - Extra Edition (Europe, set 1)"
galpanisa         "Gals Panic S - Extra Edition (Asia)"
galpanise         "Gals Panic S - Extra Edition (Europe, set 2)"
galpanisj         "Gals Panic S - Extra Edition (Japan)"
galpanisk         "Gals Panic S - Extra Edition (Korea)"
galpans2          "Gals Panic S2 (Europe)"
galpans2a         "Gals Panic S2 (Asia)"
galpans2j         "Gals Panic S2 (Japan)"
galpans3          "Gals Panic S3 (Japan)"
galpansu          "Gals Panic SU (Korea)"
galsnew           "Gals Panic (US, EXPRO-02 PCB)"
galsnewa          "Gals Panic (Export, EXPRO-02 PCB)"
galsnewj          "Gals Panic (Japan, EXPRO-02 PCB)"
galsnewk          "Gals Panic (Korea, EXPRO-02 PCB)"
galspnbl          "Gals Pinball"
galturbo          "Galaxian Turbo (superg hack)"
galwars2          "Galaxy Wars II (Defender bootleg)"
galxwars          "Galaxy Wars (Universal set 1)"
galxwars2         "Galaxy Wars (Universal set 2)"
galxwarst         "Galaxy Wars (Taito?)"
galxwarst2        "Galaxy Wars (Taito)"
gametngk          "The Game Paradise - Master of Shooting! / Game Tengoku - The Game Paradise (ver 1.0)"
ganbare           "Ganbare! Marine Kun (Japan 2K0411)"
gangonta          "Ganbare! Gonta!! 2 / Party Time: Gonta the Diver II (Japan Release)"
gangwars          "Gang Wars"
gangwarsb         "Gang Wars (bootleg)"
gangwarsj         "Gang Wars (Japan)"
gangwarsu         "Gang Wars (US)"
ganjaja           "Ganbare Jajamaru Saisho wa Goo / Ganbare Jajamaru Hop Step & Jump"
ganryu            "Ganryu / Musashi Ganryuki"
gaplus            "Gaplus (GP2 rev. B)"
gaplusa           "Gaplus (GP2)"
gaplusd           "Gaplus (GP2 rev D, alternate hardware)"
gaplust           "Gaplus (Tecfri PCB)"
gardia            "Gardia (317-0006)"
gardiab           "Gardia (317-0007?, bootleg)"
gardiaj           "Gardia (Japan, 317-0006)"
garogun           "Garogun Seroyang (Korea)"
garou             "Garou - Mark of the Wolves (NGM-2530)"
garoubl           "Garou - Mark of the Wolves (bootleg)"
garouh            "Garou - Mark of the Wolves (NGM-2530 ~ NGH-2530)"
garouha           "Garou - Mark of the Wolves (NGH-2530)"
garoup            "Garou - Mark of the Wolves (prototype)"
garuka            "Garuka (Japan ver. W)"
garyoret          "Garyo Retsuden (Japan)"
gatedoom          "Gate of Doom (US revision 4)"
gatedoom1         "Gate of Doom (US revision 1)"
gatsbee           "Gatsbee"
gaunt2            "Gauntlet II"
gaunt22p          "Gauntlet II (2 Players, rev 2)"
gaunt22p1         "Gauntlet II (2 Players, rev 1)"
gaunt22pg         "Gauntlet II (2 Players, German)"
gaunt2g           "Gauntlet II (German)"
gauntdl           "Gauntlet Dark Legacy (version DL 2.52)"
gauntdl24         "Gauntlet Dark Legacy (version DL 2.4)"
gauntleg          "Gauntlet Legends (version 1.6)"
gauntleg12        "Gauntlet Legends (version 1.2)"
gauntlet          "Gauntlet (rev 14)"
gauntlet2p        "Gauntlet (2 Players, rev 6)"
gauntlet2pg       "Gauntlet (2 Players, German, rev 4)"
gauntlet2pg1      "Gauntlet (2 Players, German, rev 1)"
gauntlet2pj       "Gauntlet (2 Players, Japanese, rev 5)"
gauntlet2pj2      "Gauntlet (2 Players, Japanese, rev 2)"
gauntlet2pr3      "Gauntlet (2 Players, rev 3)"
gauntletg         "Gauntlet (German, rev 10)"
gauntletgr3       "Gauntlet (German, rev 3)"
gauntletgr6       "Gauntlet (German, rev 6)"
gauntletgr8       "Gauntlet (German, rev 8)"
gauntletj         "Gauntlet (Japanese, rev 13)"
gauntletj12       "Gauntlet (Japanese, rev 12)"
gauntletr1        "Gauntlet (rev 1)"
gauntletr2        "Gauntlet (rev 2)"
gauntletr4        "Gauntlet (rev 4)"
gauntletr5        "Gauntlet (rev 5)"
gauntletr7        "Gauntlet (rev 7)"
gauntletr9        "Gauntlet (rev 9)"
gauntlets         "Gauntlet (Spanish, rev 15)"
gaxeduel          "Golden Axe - The Duel (JUETL 950117 V1.000)"
gberet            "Green Beret"
gberetb           "Green Beret (bootleg)"
gblchmp           "Global Champion (Ver 2.1A 1994/07/29)"
gbusters          "Gang Busters (set 1)"
gbustersa         "Gang Busters (set 2)"
gcastle           "Golden Castle (prototype?)"
gchgchmp          "Gachaga Champ (GE877 VER. JAB)"
gcpinbal          "Grand Cross v1.02F"
gdarius           "G-Darius (Ver 2.01J)"
gdarius2          "G-Darius Ver.2 (Ver 2.03J)"
gdariusb          "G-Darius (Ver 2.02A)"
gdfs              "Mobile Suit Gundam Final Shooting (Japan)"
geebee            "Gee Bee (Japan)"
geebeea           "Gee Bee (UK)"
geebeeb           "Gee Bee (Europe)"
geebeeg           "Gee Bee (US)"
gegege            "GeGeGe no Kitarou Youkai Slot"
geimulti          "GEI Multi Game"
gekiretu          "Quiz Gekiretsu Scramble (Japan)"
gekiridn          "Gekirindan (Ver 2.3O 1995/09/21)"
gekiridnj         "Gekirindan (Ver 2.3J 1995/09/21)"
gekisha           "Mahjong Gekisha"
gekisou           "Gekisou (Japan)"
gekitsui          "Gekitsui Oh (Japan)"
gekpurya          "Gekitou Pro Yakyuu Mizushima Shinji All Stars vs. Pro Yakyuu (Rev C) (GDT-0008C)"
gekpuryb          "Gekitou Pro Yakyuu Mizushima Shinji All Stars vs. Pro Yakyuu (Rev B) (GDT-0008B)"
gemcrush          "Gemcrush (Japan, prototype)"
gemini            "Gemini Wing (World)"
geminib           "Gemini Wing (bootleg)"
geminij           "Gemini Wing (Japan)"
genius6           "Genius 6 (V110F)"
genix             "Genix Family"
genpeitd          "Genpei ToumaDen"
gensitou          "Genshi-Tou 1930's"
geostorm          "Geo Storm (Japan)"
gepoker           "Poker (Version 50.02 ICB, set 1)"
gepoker1          "Poker (Version 50.02 ICB, set 2)"
gepoker2          "Poker (Version 50.02 ICB, set 3)"
gepoker3          "Poker (Version 50.02 ICB, set 4)"
getbass           "Get Bass"
getstarb1         "Get Star (bootleg set 1)"
getstarb2         "Get Star (bootleg set 2)"
getstarj          "Get Star (Japan)"
gfire2            "Golden Fire II"
gforce2           "Galaxy Force 2"
gforce2j          "Galaxy Force 2 (Japan)"
gforce2ja         "Galaxy Force 2 (Japan, Rev A)"
gforce2sd         "Galaxy Force 2 (Super Deluxe unit)"
ggconnie          "Go! Go! Connie chan Jaka Jaka Janken"
gghost            "Goalie Ghost"
ggisuka           "Guilty Gear Isuka"
ggram2            "Giant Gram: All Japan Pro Wrestling 2 (Japan)"
ggreats2          "Golfing Greats 2 (ver JAC)"
gground           "Gain Ground (World, 3 Players, Floppy Based, FD1094 317-0058-03d Rev A)"
ggroundj          "Gain Ground (Japan, 2 Players, Floppy Based, FD1094 317-0058-03b)"
ggx               "Guilty Gear X"
ggx15             "Guilty Gear X ver. 1.5"
ggxx              "Guilty Gear XX (GDL-0011)"
ggxxac            "Guilty Gear XX Accent Core (Japan) (GDL-0041)"
ggxxrl            "Guilty Gear XX #Reload (Japan, Rev A) (GDL-0019A)"
ggxxrlo           "Guilty Gear XX #Reload (Japan) (GDL-0019)"
ggxxsla           "Guilty Gear XX Slash (Japan, Rev A) (GDL-0033A)"
ghlpanic          "Ghoul Panic (World, OB2/VER.A)"
ghoshunt          "Ghost Hunter"
ghostb            "The Real Ghostbusters (US 2 Players, revision 2)"
ghostb2a          "The Real Ghostbusters (US 2 Players)"
ghostb3           "The Real Ghostbusters (US 3 Players, revision 3B?)"
ghostb3a          "The Real Ghostbusters (US 3 Players, revision 2)"
ghostlop          "Ghostlop (prototype)"
ghostmun          "Ghost Muncher"
ghostsev          "Ghost Squad Evolution"
ghouls            "Ghouls'n Ghosts (World)"
ghoulsu           "Ghouls'n Ghosts (USA)"
ghox              "Ghox (spinner)"
ghoxj             "Ghox (joystick)"
ghoxjo            "Ghox (joystick, older)"
ghunter           "Gang Hunter / Dead Angle"
ghunters          "Gang Hunter / Dead Angle (Spain)"
giclasex          "GI-Classic EX (satellite terminal)"
giclassvr         "GI-Classic EX (server)"
gigaman2          "Giga Man 2: The Power Fighters (bootleg of Mega Man 2: The Power Fighters)"
gigandes          "Gigandes"
gigandesa         "Gigandes (earlier)"
gigas             "Gigas (MC-8123, 317-5002)"
gigasb            "Gigas (bootleg)"
gigasm2           "Gigas Mark II (MC-8123, 317-5002)"
gigasm2b          "Gigas Mark II (bootleg)"
gigawing          "Giga Wing (USA 990222)"
gigawinga         "Giga Wing (Asia 990222)"
gigawingb         "Giga Wing (Brazil 990222)"
gigawingd         "Giga Wing (USA 990222 Phoenix Edition) (bootleg)"
gigawingh         "Giga Wing (Hispanic 990222)"
gigawingj         "Giga Wing (Japan 990223)"
gigawingjd        "Giga Wing (Japan 990223 Phoenix Edition) (bootleg)"
gijoe             "G.I. Joe (World, EAB, set 1)"
gijoea            "G.I. Joe (Asia, AA)"
gijoeea           "G.I. Joe (World, EB8, prototype?)"
gijoej            "G.I. Joe (Japan, JAA)"
gijoeu            "G.I. Joe (US, UAB)"
gimeabrk          "Gimme A Break (7/7/85)"
ginganin          "Ginga NinkyouDen (set 1)"
ginganina         "Ginga NinkyouDen (set 2)"
ginkun            "Ganbare Ginkun"
gionbana          "Gionbana (Japan 890120)"
gladiatr          "Gladiator (US)"
glass             "Glass (Ver 1.1, Break Edition, Checksum 49D5E66B, Version 1994)"
glass10           "Glass (Ver 1.0, Break Edition, Checksum C5513F3C)"
glass10a          "Glass (Ver 1.0, Break Edition, Checksum D3864FDB)"
glasskr           "Glass (Ver 1.1, Break Edition, Checksum D419AB69, Version 1994) (censored, unprotected)"
glfgreat          "Golfing Greats (World, version L)"
glfgreatj         "Golfing Greats (Japan, version J)"
glfgreatu         "Golfing Greats (US, version K)"
gloc              "G-LOC Air Battle (World)"
glocr360          "G-LOC R360 (World)"
glocr360j         "G-LOC R360 (Japan)"
glocu             "G-LOC Air Battle (US)"
glpracr           "Gallop Racer (English Ver 10.17.K)"
glpracr2          "Gallop Racer 2 (Export)"
glpracr2j         "Gallop Racer 2 (Japan)"
glpracr2l         "Gallop Racer 2 Link HW (Japan)"
glpracr3          "Gallop Racer 3 (Export)"
glpracr3j         "Gallop Racer 3 (Japan)"
glpracrj          "Gallop Racer (Japanese Ver 9.01.12)"
gluck2            "Good Luck II"
gmahou            "Great Mahou Daisakusen (Japan 000121)"
gmgalax           "Ghostmuncher Galaxian (bootleg)"
gmissile          "Guided Missile"
gnbarich          "Gunbarich"
gng               "Ghosts'n Goblins (World? set 1)"
gnga              "Ghosts'n Goblins (World? set 2)"
gngbl             "Ghosts'n Goblins (bootleg with Cross)"
gngblita          "Ghosts'n Goblins (Italian bootleg, harder)"
gngc              "Ghosts'n Goblins (World? set 3)"
gngprot           "Ghosts'n Goblins (prototype)"
gngt              "Ghosts'n Goblins (US)"
go2000            "Go 2000"
goal92            "Goal! '92"
goaltogo          "Goal To Go"
goalx3            "Goal! Goal! Goal!"
gobyrc            "Go By RC (V2.03O 1999/05/25 13:31)"
gocowboy          "Go Go Cowboy (English, prize)"
godzilla          "Godzilla (Japan)"
gogold            "Go For The Gold (Japan)"
gogomile          "Susume! Mile Smile / Go Go! Mile Smile (newer)"
gogomileo         "Susume! Mile Smile / Go Go! Mile Smile (older)"
gogostrk          "Go Go Strike"
goindol           "Goindol (World)"
goindolj          "Goindol (Japan)"
goindolu          "Goindol (US)"
goketsuj          "Goketsuji Ichizoku: Matsuri Senzo Kuyou (v200906230)"
gokuparo          "Gokujyou Parodius (ver JAD)"
goldbug           "Gold Bug"
goldmedl          "Gold Medalist (set 1, Alpha68k II PCB)"
goldmedla         "Gold Medalist (set 2, Alpha68k III PCB)"
goldmedlb         "Gold Medalist (bootleg, Alpha68k III PCB)"
goldnaxe          "Golden Axe (set 6, US) (8751 317-123A)"
goldnaxe1         "Golden Axe (set 1, World) (FD1094 317-0110)"
goldnaxe1d        "Golden Axe (set 1, World) (bootleg of FD1094 317-0110 set)"
goldnaxe2         "Golden Axe (set 2, US) (8751 317-0112)"
goldnaxe3         "Golden Axe (set 3, World) (FD1094 317-0120)"
goldnaxe3d        "Golden Axe (set 3, World) (bootleg of FD1094 317-0120 set)"
goldnaxeb1        "Golden Axe (encrypted bootleg)"
goldnaxeb2        "Golden Axe (bootleg)"
goldnaxej         "Golden Axe (set 4, Japan) (FD1094 317-0121)"
goldnaxejd        "Golden Axe (set 4, Japan) (bootleg of FD1094 317-0121 set)"
goldnaxeu         "Golden Axe (set 5, US) (FD1094 317-0122)"
goldnaxeud        "Golden Axe (set 5, US) (bootleg of FD1094 317-0122 set)"
golgo13           "Golgo 13 (Japan, GLG1/VER.A)"
gollygho          "Golly! Ghost!"
gomoku            "Gomoku Narabe Renju"
gondo             "Gondomania (World)"
gondou            "Gondomania (US)"
good              "Good (Korea)"
goodejan          "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 1)"
goodejana         "Good E Jong -Kachinuki Mahjong Syoukin Oh!!- (set 2)"
goonies           "Vs. The Goonies (set E)"
gorf              "Gorf"
gorfpgm1          "Gorf (program 1)"
gorfpgm1g         "Gorf (program 1, with German Language ROM)"
gorkans           "Gorkans"
gorodki           "Gorodki"
gostop            "Kankoku Hanafuda Go-Stop"
gotcha            "Got-cha Mini Game Festival"
gotya             "Got-Ya (12/24/1981)"
gowcaizr          "Voltage Fighter - Gowcaizer / Choujin Gakuen Gowcaizer"
gp2quiz           "Gals Panic II - Quiz Version"
gp2se             "Gals Panic II' - Special Edition (Japan)"
gp98              "Grand Prix '98 (V100K)"
gpgolf            "Golden Par Golf (Joystick, V1.1)"
gpilots           "Ghost Pilots (NGM-020 ~ NGH-020)"
gpilotsh          "Ghost Pilots (NGH-020, US)"
gpilotsp          "Ghost Pilots (prototype)"
gprider           "GP Rider (World, FD1094 317-0163) (Twin setup)"
gpriderj          "GP Rider (Japan, FD1094 317-0161) (Twin setup)"
gpriderjs         "GP Rider (Japan, FD1094 317-0161)"
gpriders          "GP Rider (World, FD1094 317-0163)"
gprideru          "GP Rider (US, FD1094 317-0162) (Twin setup)"
gpriderus         "GP Rider (US, FD1094 317-0162)"
gpworld           "GP World"
gq863             "Twinkle System"
gradius           "Gradius (Japan, ROM version)"
gradius2          "Gradius II - GOFER no Yabou (Japan New Ver.)"
gradius2a         "Gradius II - GOFER no Yabou (Japan Old Ver.)"
gradius2b         "Gradius II - GOFER no Yabou (Japan Older Ver.)"
gradius3          "Gradius III (World, program code R)"
gradius3a         "Gradius III (Asia)"
gradius3j         "Gradius III (Japan, program code S)"
gradius3js        "Gradius III (Japan, program code S, split)"
gradius4          "Gradius IV: Fukkatsu (ver JAC)"
gradiusb          "Gradius (Bubble System)"
grainbow          "SD Gundam Sangokushi Rainbow Tairiku Senki (Japan)"
grainbowk         "SD Gundam Sangokushi Rainbow Tairiku Senki (Korea)"
grally            "Gran Rally (Spanish bootleg of Pole Position II)"
gram2000          "Giant Gram 2000"
grasspin          "Grasspin"
gratia            "Gratia - Second Earth (ver 1.0, 92047-01 version)"
gratiaa           "Gratia - Second Earth (ver 1.0, 91022-10 version)"
gravitar          "Gravitar (version 3)"
gravitar1         "Gravitar (version 1)"
gravitar2         "Gravitar (version 2)"
grchamp           "Grand Champion (set 1)"
grchampa          "Grand Champion (set 2)"
grchampb          "Grand Champion (set 3)"
grdforce          "Guardian Force (JUET 980318 V0.105)"
grdian            "Guardian (US)"
grdians           "Guardians / Denjin Makai II (P-FG01-1 PCB)"
grdiansa          "Guardians / Denjin Makai II (P0-113A PCB)"
grdnstrm          "Guardian Storm (horizontal, not encrypted)"
grdnstrmau        "Guardian Storm (horizontal, Australia)"
grdnstrmg         "Guardian Storm (Germany)"
grdnstrmj         "Sen Jing - Guardian Storm (Japan)"
grdnstrmk         "Jeon Sin - Guardian Storm (Korea)"
grdnstrmv         "Guardian Storm (vertical)"
greatgun          "Great Guns"
greatgur          "Great Gurianos (Japan?)"
greenber          "Green Beret (Irem)"
grescue           "Galaxy Rescue"
gridiron          "Gridiron Fight"
gridlee           "Gridlee"
griffon           "Griffon (Videotron bootleg of Phoenix)"
griffono          "Griffon (Olympia bootleg of Phoenix)"
grindstm          "Grind Stormer"
grindstma         "Grind Stormer (older set)"
grmatch           "Grudge Match (Yankee Game Technology)"
grndtour          "Grand Tour (V100U)"
grobda            "Grobda (New Ver.)"
grobda2           "Grobda (Old Ver. set 1)"
grobda3           "Grobda (Old Ver. set 2)"
groovef           "Groove on Fight - Gouketsuji Ichizoku 3 (J 970416 V1.001)"
groundfx          "Ground Effects / Super Ground Effects (Japan)"
growl             "Growl (World, Rev 1)"
growla            "Growl (World)"
growlp            "Growl (World, prototype)"
growlu            "Growl (US)"
grudge            "Grudge Match (v00.90, Italy, location test?)"
grudgep           "Grudge Match (v00.80, prototype)"
gryzor            "Gryzor (set 1)"
gryzor1           "Gryzor (set 2)"
gs4002            "Selection (Version 40.02TMB, set 1)"
gs4002a           "Selection (Version 40.02TMB, set 2)"
gseeker           "Grid Seeker: Project Storm Hammer (Ver 1.3O)"
gseekerj          "Grid Seeker: Project Storm Hammer (Ver 1.3J)"
gseekeru          "Grid Seeker: Project Storm Hammer (Ver 1.3A)"
gslgr94j          "Great Sluggers '94 (Japan)"
gslgr94u          "Great Sluggers '94"
gslugrsj          "Great Sluggers (Japan)"
gsspade           "Spade"
gstream           "G-Stream G2020"
gstrik2           "Grand Striker 2 (Europe and Oceania)"
gstrik2j          "Grand Striker 2 (Japan)"
gstriker          "Grand Striker (Europe, Oceania)"
gstrikera         "Grand Striker (Americas)"
gstrikerj         "Grand Striker (Japan)"
gsword            "Great Swordsman (World?)"
gsword2           "Great Swordsman (Japan?)"
gt103a1           "Trivia (Unsorted question roms)"
gt103aa           "Trivia (Version 1.03a Alt questions 1)"
gt103ab           "Trivia (Version 1.03a Alt questions 2)"
gt103asx          "Trivia (Version 1.03a Sex questions)"
gt2k              "Golden Tee 2K (v1.00)"
gt2kp100          "Golden Tee 2K (v1.00) (alt protection)"
gt2ks100          "Golden Tee 2K (v1.00S)"
gt2kt500          "Golden Tee 2K Tournament (v5.00)"
gt3d              "Golden Tee 3D Golf (v1.93N)"
gt3dl19           "Golden Tee 3D Golf (v1.9L)"
gt3dl191          "Golden Tee 3D Golf (v1.91L)"
gt3dl192          "Golden Tee 3D Golf (v1.92L)"
gt3ds192          "Golden Tee 3D Golf (v1.92S)"
gt3dt211          "Golden Tee 3D Golf Tournament (v2.11)"
gt3dt231          "Golden Tee 3D Golf Tournament (v2.31)"
gt3dv14           "Golden Tee 3D Golf (v1.4)"
gt3dv15           "Golden Tee 3D Golf (v1.5)"
gt3dv16           "Golden Tee 3D Golf (v1.6)"
gt3dv17           "Golden Tee 3D Golf (v1.7)"
gt3dv18           "Golden Tee 3D Golf (v1.8)"
gt507uk           "Trivia (UK Version 5.07)"
gt97              "Golden Tee '97 (v1.30)"
gt97s121          "Golden Tee '97 (v1.21S)"
gt97t240          "Golden Tee '97 Tournament (v2.40)"
gt97t243          "Golden Tee '97 Tournament (v2.43)"
gt97v120          "Golden Tee '97 (v1.20)"
gt97v121          "Golden Tee '97 (v1.21)"
gt97v122          "Golden Tee '97 (v1.22)"
gt98              "Golden Tee '98 (v1.10)"
gt98s100          "Golden Tee '98 (v1.00S)"
gt98t302          "Golden Tee '98 Tournament (v3.02)"
gt98t303          "Golden Tee '98 Tournament (v3.03)"
gt98v100          "Golden Tee '98 (v1.00)"
gt99              "Golden Tee '99 (v1.00)"
gt99s100          "Golden Tee '99 (v1.00S)"
gt99t400          "Golden Tee '99 Tournament (v4.00)"
gtclassc          "Golden Tee Classic (v1.00)"
gtclasscp         "Golden Tee Classic (v1.00) (alt protection)"
gtclasscs         "Golden Tee Classic (v1.00S)"
gtdiamond         "Golden Tee Diamond Edition Tournament (v3.05T ELC)"
gteikoku          "Gingateikoku no Gyakushu"
gteikokub         "Gingateikoku no Gyakushu (bootleg set 1)"
gteikokub2        "Gingateikoku no Gyakushu (bootleg set 2)"
gteikokub3        "Gingateikoku no Gyakushu (bootleg set 3)"
gtfore01          "Golden Tee Fore! (v1.00.25)"
gtfore02          "Golden Tee Fore! 2002 (v2.01.06)"
gtfore03          "Golden Tee Fore! 2003 (v3.00.10)"
gtfore03a         "Golden Tee Fore! 2003 (v3.00.09)"
gtfore04          "Golden Tee Fore! 2004 Extra (v4.00.08)"
gtfore04a         "Golden Tee Fore! 2004 (v4.00.00)"
gtfore05          "Golden Tee Fore! 2005 Extra (v5.01.06)"
gtfore05a         "Golden Tee Fore! 2005 Extra (v5.01.02)"
gtfore05b         "Golden Tee Fore! 2005 Extra (v5.01.00)"
gtfore05c         "Golden Tee Fore! 2005 Extra (v5.00.00)"
gtfore06          "Golden Tee Fore! 2006 Complete (v6.00.01)"
gtfrk10m          "Guitar Freaks 10th Mix (G*D10 VER. JAB)"
gtfrk10ma         "Guitar Freaks 10th Mix (G*D10 VER. JAA)"
gtfrk10mb         "Guitar Freaks 10th Mix eAmusement (G*D10 VER. JBA)"
gtfrk11m          "Guitar Freaks 11th Mix (G*D39 VER. JAA)"
gtfrk3ma          "Guitar Freaks 3rd Mix (GE949 VER. JAB)"
gtfrk3mb          "Guitar Freaks 3rd Mix - security cassette versionup (949JAZ02)"
gtg               "Golden Tee Golf (Joystick, v3.3)"
gtg2              "Golden Tee Golf II (Trackball, V2.2)"
gtg2j             "Golden Tee Golf II (Joystick, V1.0)"
gtg2t             "Golden Tee Golf II (Trackball, V1.1)"
gtgj31            "Golden Tee Golf (Joystick, v3.1)"
gtgt              "Golden Tee Golf (Trackball, v2.0)"
gtgt1             "Golden Tee Golf (Trackball, v1.0)"
gticlub           "GTI Club (ver EAA)"
gticlub2          "GTI Club: Corso Italiano (ver JAB)"
gticlub2ea        "GTI Club: Corso Italiano (ver EAA)"
gticluba          "GTI Club (ver AAA)"
gticlubj          "GTI Club (ver JAA)"
gticlubu          "GTI Club (ver UAA)"
gtmr              "1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18)"
gtmr2             "Mille Miglia 2: Great 1000 Miles Rally (95/05/24)"
gtmr2a            "Mille Miglia 2: Great 1000 Miles Rally (95/04/04)"
gtmr2u            "Great 1000 Miles Rally 2 USA (95/05/18)"
gtmra             "1000 Miglia: Great 1000 Miles Rally (94/06/13)"
gtmrb             "1000 Miglia: Great 1000 Miles Rally (94/05/26)"
gtmre             "Great 1000 Miles Rally: Evolution Model!!! (94/09/06)"
gtmro             "1000 Miglia: Great 1000 Miles Rally (94/05/10)"
gtmrusa           "Great 1000 Miles Rally: U.S.A Version! (94/09/06)"
gtrfrk2m          "Guitar Freaks 2nd Mix Ver 1.01 (GQ883 VER. JAD)"
gtrfrk3m          "Guitar Freaks 3rd Mix (GE949 VER. JAC)"
gtrfrk4m          "Guitar Freaks 4th Mix (G*A24 VER. JAA)"
gtrfrk5m          "Guitar Freaks 5th Mix (G*A26 VER. JAA)"
gtrfrk6m          "Guitar Freaks 6th Mix (G*B06 VER. JAA)"
gtrfrk7m          "Guitar Freaks 7th Mix (G*B17 VER. JAA)"
gtrfrk8m          "Guitar Freaks 8th Mix power-up ver. (G*C08 VER. JBA)"
gtrfrk8ma         "Guitar Freaks 8th Mix (G*C08 VER. JAA)"
gtrfrk9m          "Guitar Freaks 9th Mix (G*C39 VER. JAA)"
gtrfrks           "Guitar Freaks (GQ886 VER. EAC)"
gtrfrksa          "Guitar Freaks (GQ886 VER. AAC)"
gtrfrksj          "Guitar Freaks (GQ886 VER. JAC)"
gtrfrksu          "Guitar Freaks (GQ886 VER. UAC)"
gtroyal           "Golden Tee Royal Edition Tournament (v4.02T EDM)"
gtsers1           "Trivia (Questions Series 1)"
gtsers10          "Trivia (Questions Series 10)"
gtsers11          "Trivia (Questions Series 11)"
gtsers11a         "Trivia (Questions Series 11 Alt Question Rom)"
gtsers12          "Trivia (Questions Series 12)"
gtsers14          "Trivia (Questions Series 14)"
gtsers15          "Trivia (Questions Series 15)"
gtsers2           "Trivia (Questions Series 2)"
gtsers3           "Trivia (Questions Series 3)"
gtsers4           "Trivia (Questions Series 4)"
gtsers5           "Trivia (Questions Series 5)"
gtsers7           "Trivia (Questions Series 7)"
